room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
13017092,1498,71845182,Entire home/apt,Asheville,38,5,4,2,175
14826403,1498,66452479,Entire home/apt,Asheville,40,5,2,1,146
3300523,1498,16669723,Entire home/apt,Asheville,157,5,4,1,140
3445948,1498,3079174,Entire home/apt,Asheville,56,4.5,4,2,142
13308291,1498,39722886,Entire home/apt,Asheville,35,5,6,2,160
2108335,1498,3383961,Entire home/apt,Asheville,162,5,8,3,165
10545022,1498,54379432,Entire home/apt,Asheville,71,5,4,2,150
11475492,1498,60384320,Entire home/apt,Asheville,19,5,2,1,150
11839089,1498,57405998,Entire home/apt,Asheville,43,5,6,3,180
15132111,1498,2033434,Entire home/apt,Asheville,32,5,2,1,150
11686204,1498,8164438,Entire home/apt,Asheville,61,5,5,2,158
18414959,1498,127606094,Entire home/apt,Asheville,1,0,7,3,175
4593058,1498,22763355,Entire home/apt,Asheville,84,5,6,3,159
15678874,1498,4264433,Entire home/apt,Asheville,18,5,6,3,180
19066373,1498,42676282,Entire home/apt,Asheville,2,0,6,2,167
11388248,1498,40784975,Entire home/apt,Asheville,63,5,4,2,175
1709215,1498,9018202,Entire home/apt,Asheville,56,5,4,1,175
7546626,1498,9624164,Entire home/apt,Asheville,61,5,4,2,130
16793633,1498,5761783,Entire home/apt,Asheville,17,5,2,1,128
15055380,1498,95166245,Entire home/apt,Asheville,37,4.5,6,2,150
16977918,1498,4331962,Entire home/apt,Asheville,38,5,6,2,169
16879450,1498,29598359,Entire home/apt,Asheville,11,5,6,3,175
16603497,1498,8051732,Entire home/apt,Asheville,23,5,2,1,149
16477857,1498,108161472,Entire home/apt,Asheville,34,4.5,4,2,149
2477628,1498,8035294,Entire home/apt,Asheville,121,5,5,2,150
19347943,1498,120576549,Entire home/apt,Asheville,2,0,6,3,175
19077911,1498,134554268,Entire home/apt,Asheville,1,0,4,2,150
4174356,1498,11982753,Entire home/apt,Asheville,219,5,4,2,154
6711659,1498,35135871,Entire home/apt,Asheville,98,4.5,4,2,150
15345095,1498,53338225,Entire home/apt,Asheville,36,5,4,1,146
14841361,1498,4911428,Entire home/apt,Asheville,24,5,4,2,150
15806748,1498,30786266,Entire home/apt,Asheville,15,5,2,1,175
18934281,1498,7878412,Entire home/apt,Asheville,5,5,4,2,175
16846899,1498,112183018,Entire home/apt,Asheville,26,5,5,1,140
3821004,1498,473131,Entire home/apt,Asheville,53,4,5,2,135
2165569,1498,1457357,Entire home/apt,Asheville,150,4.5,4,2,120
13074207,1498,9017645,Entire home/apt,Asheville,9,4,3,1,130
17861930,1498,46001530,Entire home/apt,Asheville,23,5,4,1,135
